"Numéro de mesure";"Longitude";"Latitude";"Position";"Insee";"Adresse";"Complément";"Code postal";"Commune";"Date de mesure";"Mesure réalisée";"Rapport";"Conformité de la mesure";"Niveau global";"Type d'environnement";"laboratoire";"DECT (Téléphone domestique)";"Radiodiffusion sonore (FM – RNT)";"Services HF";"PMR (Réseaux radio mobile professionnels)";"PMR - balises";"Radars - balises - FH";"Radar - BLR (Wimax)- FH";"TV";"Réseaux locaux radioélectriques ou Wifi";"TM 700 (Téléphonie Mobile en 700 MHz)_mesuré";"TM 700 (Téléphonie Mobile en 700 MHz)_extrapolé";"TM 800_mesuré";"TM 800_extrapolé";"TM 900_mesuré";"TM 900_extrapolé";"TM 1800_mesuré";"TM 1800_extrapolé";"TM 2100_mesuré";"TM 2100_extrapolé";"TM 2600_mesuré";"TM 2600_extrapolé";"TM 3600_mesuré";"TM 3600_extrapolé";"Cumul_CasB";"Cumul_CasB_TM";"Ratio_Ecart_CasA_CasB_%"
"174969";"-0,460503";"44,880969";"44°52'51.488N 0°27'37.811W";"33554";"Avenue de Blanzac";"";"33370";"YVRAC";"04/05/2022";"En extérieur";"RPUB_148140.pdf";"Oui";"0,12";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175004";"0,46522";"44,863217";"44°51'47.581N 0°27'54.792E";"24037";"Chemin de Puypezac";"";"24100";"BERGERAC";"17/05/2022";"En intérieur";"RPUB_148250.pdf";"Oui";"0,29";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175013";"0,465868";"44,861649";"44°51'41.936N 0°27'57.125E";"24037";"Rue Claude Bernard";"";"24100";"BERGERAC";"17/05/2022";"En extérieur";"RPUB_148251.pdf";"Oui";"0,19";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175024";"0,469666";"44,863443";"44°51'48.395N 0°28'10.798E";"24037";"Rue Claude Bernard";"";"24100";"BERGERAC";"17/05/2022";"En intérieur";"RPUB_148252.pdf";"Oui";"0,38";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175034";"-0,452113";"44,998052";"44°59'52.987N 0°27'7.607W";"33366";"Chemin du Grand Ormeau";"";"33240";"SAINT ANDRE DE CUBZAC";"17/05/2022";"En extérieur";"RPUB_148238.pdf";"Oui";"1,28";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"0,22";"";"0,37";"";"0,41";"";"0,49";"";"0,8";"";"0,37";"";"";"";"1,170641";"1,170641";"8,544"
"175046";"0,465257";"44,863034";"44°51'46.922N 0°27'54.925E";"24037";"Chemin du Petit Rooy";"";"24100";"BERGERAC";"17/05/2022";"En intérieur";"RPUB_148249.pdf";"Oui";"0,19";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175071";"0,768828";"44,533281";"44°31'59.812N 0°46'7.781E";"47175";"Tour de Ville";"";"47150";"MONFLANQUIN";"18/05/2022";"En extérieur";"RPUB_148277.pdf";"Oui";"1,5";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"1,03";"";"0,59";"";"0,16";"";"0,11";"";"";"";"";"";"1,202788";"1,202788";"19,814"
"175115";"0,463486";"44,86196";"44°51'43.056N 0°27'48.550E";"24037";"Route de Montpon";"";"24100";"BERGERAC";"23/05/2022";"En extérieur";"RPUB_148328.pdf";"Oui";"0,17";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175149";"0,468465";"44,86419";"44°51'51.084N 0°28'6.474E";"24037";"Impasse Le Verrier";"";"24100";"BERGERAC";"23/05/2022";"En extérieur";"RPUB_148370.pdf";"Oui";"0,24";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175162";"0,465663";"44,863398";"44°51'48.233N 0°27'56.387E";"24037";"Chemin du Petit Rooy";"";"24100";"BERGERAC";"23/05/2022";"En intérieur";"RPUB_148368.pdf";"Oui";"0,38";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175171";"0,466487";"44,86221";"44°51'43.956N 0°27'59.353E";"24037";"Rue Claude Bernard";"";"24100";"BERGERAC";"23/05/2022";"En extérieur";"RPUB_148365.pdf";"Oui";"0,49";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175174";"0,465621";"44,863113";"44°51'47.207N 0°27'56.236E";"24037";"Chemin du Petit Rooy";"";"24100";"BERGERAC";"24/05/2022";"En extérieur";"RPUB_148367.pdf";"Oui";"0,24";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175181";"0,465589";"44,862386";"44°51'44.590N 0°27'56.120E";"24037";"Bout des Vergnes Est";"";"24100";"BERGERAC";"17/05/2022";"En extérieur";"RPUB_148369.pdf";"Oui";"0,35";"Divers";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175185";"0,465541";"44,862773";"44°51'45.983N 0°27'55.948E";"24037";"Chemin du Petit Rooy";"";"24100";"BERGERAC";"24/05/2022";"En intérieur";"RPUB_148366.pdf";"Oui";"0,61";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175215";"0,466576";"44,864006";"44°51'50.422N 0°27'59.674E";"24037";"Chemin du Petit Rooy";"";"24100";"BERGERAC";"16/05/2022";"En extérieur";"RPUB_148414.pdf";"Oui";"0,14";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175216";"0,465921";"44,863068";"44°51'47.045N 0°27'57.316E";"24037";"Chemin du Petit Rooy";"";"24100";"BERGERAC";"23/05/2022";"En extérieur";"RPUB_148413.pdf";"Oui";"0,55";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175353";"-0,45837";"44,87912";"44°52'44.832N 0°27'30.132W";"33554";"Avenue de Blanzac";"";"33370";"YVRAC";"04/05/2022";"En extérieur";"RPUB_148554.pdf";"Oui";"1,76";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175388";"-0,723199";"44,855838";"44°51'21.017N 0°43'23.516W";"33449";"Avenue de Pagnot";"";"33160";"SAINT MEDARD EN JALLES";"31/05/2022";"En extérieur";"RPUB_148627.pdf";"Oui";"0,49";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175389";"-0,442493";"44,868843";"44°52'7.835N 0°26'32.975W";"33330";"Avenue du Périgord";"";"33370";"POMPIGNAC";"31/05/2022";"En extérieur";"RPUB_148644.pdf";"Oui";"0,92";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175392";"-0,383724";"44,913818";"44°54'49.745N 0°23'1.406W";"33483";"Rue du Jaugaret";"";"33450";"SAINT SULPICE ET CAMEYRAC";"31/05/2022";"En extérieur";"RPUB_148623.pdf";"Oui";"0,75";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175394";"-0,578988";"44,761088";"44°45'39.917N 0°34'44.357W";"33550";"Rue Léo Lagrange";"";"33140";"VILLENAVE D ORNON";"01/06/2022";"En extérieur";"RPUB_148648.pdf";"Oui";"0,65";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175396";"-0,613153";"44,858204";"44°51'29.534N 0°36'47.351W";"33063";"Avenue de Verdun";"";"33200";"BORDEAUX";"02/06/2022";"En extérieur";"RPUB_148640.pdf";"Oui";"0,83";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175401";"-0,714712";"44,813803";"44°48'49.691N 0°42'52.963W";"33281";"Avenue de l'Argonne";"";"33700";"MERIGNAC";"01/06/2022";"En extérieur";"RPUB_148628.pdf";"Oui";"0,96";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
