"Numéro de mesure";"Longitude";"Latitude";"Position";"Insee";"Adresse";"Complément";"Code postal";"Commune";"Date de mesure";"Mesure réalisée";"Rapport";"Conformité de la mesure";"Niveau global";"Type d'environnement";"laboratoire";"DECT (Téléphone domestique)";"Radiodiffusion sonore (FM – RNT)";"Services HF";"PMR (Réseaux radio mobile professionnels)";"PMR - balises";"Radars - balises - FH";"Radar - BLR (Wimax)- FH";"TV";"Réseaux locaux radioélectriques ou Wifi";"TM 700 (Téléphonie Mobile en 700 MHz)_mesuré";"TM 700 (Téléphonie Mobile en 700 MHz)_extrapolé";"TM 800_mesuré";"TM 800_extrapolé";"TM 900_mesuré";"TM 900_extrapolé";"TM 1800_mesuré";"TM 1800_extrapolé";"TM 2100_mesuré";"TM 2100_extrapolé";"TM 2600_mesuré";"TM 2600_extrapolé";"TM 3600_mesuré";"TM 3600_extrapolé";"Cumul_CasB";"Cumul_CasB_TM";"Ratio_Ecart_CasA_CasB_%";"CV_services_CasB"
"129687";"2,162418";"44,047136";"44°2'49.690N 2°9'44.705E";"81060";"Boulevard Charles de Gaulle";"";"81400";"CARMAUX";"06/02/2017";"En extérieur";"R_SO3658_1_1PUB.pdf";"Oui";"0,16";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"0,01";"0,03";"0,04";"0,04";"0,05";"0,05";"0,16";"0,05";"0,14";"0,01";"";"0,03";"";"0,07";"";"0,04";"";"0,05";"";"0,04";"";"";"";"0,261725";"0,107703";"-63,578";"0,752378"
"129820";"-0,621983";"44,84808";"44°50'53.088N 0°37'19.139W";"33063";"Rue Laporte";"";"33200";"BORDEAUX";"15/02/2017";"En extérieur";"R_SO3718_1_1PUB.pdf";"Oui";"4,52";"Lieu d'habitation";"EXEM";"";"";"";"";"0,14";"";"";"";"";"";"";"2,15";"";"1,67";"";"0,17";"";"2,37";"";"1,37";"";"";"";"3,867001";"3,864466";"14,447";"0,669781"
"129822";"-0,470438";"44,851161";"44°51'4.180N 0°28'13.577W";"33535";"Avenue de Senailhac";"";"33370";"TRESSES";"15/02/2017";"En extérieur";"R_SO3659_1_1PUB.pdf";"Oui";"0,77";"Rue / Route / Parking";"EXEM";"";"0,18";"";"";"";"";"";"0,18";"";"";"";"0,32";"";"0,35";"";"0,21";"";"0,24";"";"";"";"";"";"0,62562";"0,571489";"18,751";"0,268576"
"129849";"0,514512";"44,784927";"44°47'5.737N 0°30'52.243E";"24126";"Labadie Haute Ouest";"";"24560";"COLOMBIER";"16/02/2017";"En intérieur";"R_SO3674_1_1PUB.pdf";"Oui";"0,34";"Lieu d'habitation";"EXEM";"";"0,09";"";"";"";"";"";"0,06";"";"";"";"";"";"0,21";"";"";"";"0,05";"";"0,05";"";"";"";"0,246577";"0,221585";"27,477";"0,660812"
"129852";"0,447521";"45,137765";"45°8'15.954N 0°26'51.076E";"24418";"Le Bourg";"";"24190";"SAINT GERMAIN DU SALEMBRE";"16/02/2017";"En intérieur";"R_SO3728_1_1PUB.pdf";"Oui";"0,12";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"129862";"1,08711";"44,16733";"44°10'2.388N 1°5'13.596E";"82112";"3551 Côte de Saint-Julien";"";"82200";"MOISSAC";"17/02/2017";"En extérieur";"R_SO3714_1_1PUB.pdf";"Oui";"0,18";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"0,14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,14";"";"22,222";"0"
"130018";"-0,646949";"44,832066";"44°49'55.438N 0°38'49.016W";"33281";"Rue Beausite";"";"33700";"MERIGNAC";"10/03/2017";"En extérieur";"R_SO3839_1_1PUB.pdf";"Oui";"0,69";"Lieu d'habitation";"EXEM";"0,01";"0,03";"0,05";"0,04";"0,14";"0,05";"0,16";"0,09";"0,14";"0,01";"";"0,32";"";"0,27";"";"0,24";"";"0,18";"";"0,29";"";"";"";"0,655744";"0,591185";"4,965";"0,762055"
"130026";"-0,553619";"44,868683";"44°52'7.259N 0°33'13.028W";"33063";"Rue Lucie Aubrac";"";"33000";"BORDEAUX";"09/03/2017";"En intérieur";"R_SO3775_1_1PUB.pdf";"Oui";"0,1";"Lieu d'habitation";"EXEM";"0,01";"0,03";"0,04";"0,04";"0,05";"0,05";"0,16";"0,05";"0,14";"0,01";"";"0,02";"";"0,03";"";"0,01";"";"0,03";"";"0,02";"";"";"";"0,244336";"0,052915";"-144,336";"0,938567"
"130107";"0,6792";"43,860486";"43°51'37.750N 0°40'45.120E";"32132";"Chemin de Millet";"";"32500";"FLEURANCE";"27/03/2017";"En intérieur";"R_SO3904_1_1PUB.pdf";"Oui";"0,16";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"0,06";"";"0,1";"";"";"";"";"";"";"";"";"";"0,116619";"0,116619";"27,113";"0,25"
"130109";"0,385273";"43,87099";"43°52'15.564N 0°23'6.983E";"32459";"Ajamon";"";"32310";"VALENCE SUR BAISE";"27/03/2017";"En extérieur";"R_SO3856_1_1PUB.pdf";"Oui";"0,25";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,23";"";"";"";"";"";"";"";"";"";"0,23";"0,23";"8";"0"
"130121";"-0,262964";"44,737284";"44°44'14.222N 0°15'46.670W";"33523";"Chemin du Stade";"";"33760";"TARGON";"28/03/2017";"En extérieur";"R_SO3730_1_1PUB.pdf";"Oui";"0,12";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"130127";"-0,42365";"44,749179";"44°44'57.044N 0°25'25.140W";"33381";"Lotissement Les Peupliers";"";"33880";"SAINT CAPRAIS DE BORDEAUX";"28/03/2017";"En intérieur";"R_SO3978_1_1PUB.pdf";"Oui";"0,11";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"130136";"-0,577887";"44,827204";"44°49'37.934N 0°34'40.393W";"33063";"Rue Borda";"";"33000";"BORDEAUX";"28/03/2017";"En intérieur";"R_SO3882_1_1PUB.pdf";"Oui";"1,02";"Lieu d'habitation";"EXEM";"";"0,06";"";"";"";"";"";"";"";"";"";"0,31";"";"0,54";"";"0,2";"";"0,18";"";"0,49";"";"";"";"0,838928";"0,83678";"17,752";"0,576876"
"130143";"-0,632819";"44,845167";"44°50'42.601N 0°37'58.148W";"33281";"Allée du Clos Montesquieu";"";"33700";"MERIGNAC";"29/03/2017";"En extérieur";"R_SO3979_1_1PUB.pdf";"Oui";"1,29";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"130147";"-1,411904";"43,786013";"43°47'9.647N 1°24'42.854W";"40328";"Rue des Goélands";"";"40480";"VIEUX BOUCAU LES BAINS";"29/03/2017";"En intérieur";"R_SO3914_1_1PUB.pdf";"Oui";"0,23";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"0,14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,14";"";"39,13";"0"
"130222";"-0,679554";"44,879661";"44°52'46.780N 0°40'46.394W";"33200";"Rue Colbert";"";"33185";"HAILLAN";"04/04/2017";"En extérieur";"R_SO4003_1_1PUB.pdf";"Oui";"0,21";"Lieu d'habitation";"EXEM";"0,01";"0,03";"0,05";"0,04";"0,05";"0,05";"0,17";"0,05";"0,15";"0,01";"";"0,07";"";"0,13";"";"0,06";"";"0,09";"";"0,06";"";"";"";"0,318119";"0,192873";"-51,485";"0,677535"
"130235";"2,562025";"44,353184";"44°21'11.462N 2°33'43.290E";"12202";"Rue Eugène Loup";"";"12000";"RODEZ";"13/04/2017";"En intérieur";"R_SO3946_1_1PUB.pdf";"Oui";"0,38";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"130453";"-0,587457";"44,837339";"44°50'14.420N 0°35'14.845W";"33063";"Rue Corps Franc Pommies";"";"33000";"BORDEAUX";"24/04/2017";"En intérieur";"R_SO4084_1_1PUB.pdf";"Oui";"0,16";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"130506";"-0,60016";"44,954519";"44°57'16.268N 0°36'0.576W";"33312";"Allée Mendès France";"";"33290";"PAREMPUYRE";"10/05/2017";"En intérieur";"R_SO4077_1_1PUB.pdf";"Oui";"0,19";"Lieu d'habitation";"EXEM";"0,2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,2";"";"-5,263";"0"
