"Numéro de mesure";"Longitude";"Latitude";"Position";"Insee";"Adresse";"Complément";"Code postal";"Commune";"Date de mesure";"Mesure réalisée";"Rapport";"Conformité de la mesure";"Niveau global";"Type d'environnement";"laboratoire";"DECT (Téléphone domestique)";"Radiodiffusion sonore (FM – RNT)";"Services HF";"PMR (Réseaux radio mobile professionnels)";"PMR - balises";"Radars - balises - FH";"Radar - BLR (Wimax)- FH";"TV";"Réseaux locaux radioélectriques ou Wifi";"TM 700 (Téléphonie Mobile en 700 MHz)_mesuré";"TM 700 (Téléphonie Mobile en 700 MHz)_extrapolé";"TM 800_mesuré";"TM 800_extrapolé";"TM 900_mesuré";"TM 900_extrapolé";"TM 1800_mesuré";"TM 1800_extrapolé";"TM 2100_mesuré";"TM 2100_extrapolé";"TM 2600_mesuré";"TM 2600_extrapolé";"TM 3600_mesuré";"TM 3600_extrapolé";"Cumul_CasB";"Cumul_CasB_TM";"Ratio_Ecart_CasA_CasB_%"
"381";"6,152222";"48,654167";"48°39'15.001N 6°9'7.999E";"54547";"Rue du Doyen Jacques Parisot";"Bâtiment du Centre de Médecine Préventive";"54500";"VANDOEUVRE LES NANCY";"19/03/2002";"En intérieur";"FicheMesure381.pdf";"Oui";"0,49";"Lieu d'habitation";"APAVE";"";"";"1,17";"";"";"";"";"0,07";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1,172092";"";"-139,202"
"490";"7,735";"48,558889";"48°33'32.000N 7°44'6.000E";"67482";"Rue du Doubs";"Centrale à Béton - Société ORSA BETONS";"67100";"STRASBOURG";"01/02/2002";"En intérieur";"FicheMesure490.pdf";"Oui";"0,2";"Lieu d'habitation";"BUREAU VERITAS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,07";"";"";"";"";"";"";"";"";"";"";""
"619";"6,166944";"48,688333";"48°41'17.999N 6°10'0.998E";"54395";"Rue Raymond Poincaré";"Hall d'entrée au rez-de-chaussée d'un immeuble d'habitation sur lequel sont installées en terrasse des antennes de téléphonie mobile de type GSM 900MHz et DCS 1800 MHz.";"54000";"NANCY";"03/07/2002";"En intérieur";"FicheMesure619.pdf";"Oui";"0,41";"Lieu d'habitation";"APAVE";"";"";"0,85";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,85";"";"-107,317"
"620";"6,166944";"48,688333";"48°41'17.999N 6°10'0.998E";"54395";"Rue Raymond Poincaré";"Palier de l'escalier au 7ème et dernier étage d'un immeuble d'habitation situé au 83 rue Raymond Poincarré sur lequel sont installées en terrasse des antennes de téléphonie mobile de type GSM 900MHz et DCS 1800 MHz.";"54000";"NANCY";"03/07/2002";"En intérieur";"FicheMesure620.pdf";"Oui";"0,45";"Lieu d'habitation";"APAVE";"";"";"0,5";"";"";"";"";"0,08";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,50636";"";"-12,524"
"661";"7,216389";"48,487778";"48°29'16.001N 7°12'59.000E";"67448";"Rue du Bois";"centre médical spécialisé pour les affections cardio respiratoire de SCHIRMECK";"67130";"SCHIRMECK";"17/07/2002";"En intérieur";"FicheMesure661.pdf";"Oui";"0,83";"Lieu d'habitation";"APAVE";"";"0,07";"0,19";"";"";"";"";"";"";"";"";"";"";"";"0,1";"";"";"";"";"";"";"";"";"0,202485";"";"75,604"
"777";"6,109167";"48,654167";"48°39'15.001N 6°6'33.001E";"54578";"Boulevard de Champelle";"Adresse de Monsieur BIENTZ : 10 Boulevard de Champelle 54600 VILLERS LES NANCY";"54600";"VILLERS LES NANCY";"07/11/2002";"En extérieur";"FicheMesure777.pdf";"Oui";"0,3";"Rue / Route / Parking";"SR Nancy";"";"";"0,43";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,43";"";"-43,333"
"839";"7,136667";"48,748611";"48°44'55.000N 7°8'12.001E";"57333";"Rue Nationale";"Dans la cour, face au garage de la maison de Mr NISSE au 1, rue Bellevue 57400 Hommarting située à l'intersection de la RN 4 et la RD 97.";"57400";"HOMMARTING";"04/12/2002";"En extérieur";"FicheMesure839.pdf";"Oui";"0,69";"Rue / Route / Parking";"CSTB - Saint Martin d'Heres";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,29";"";"0,24";"";"";"";"";"";"";"";"";""
"840";"7,136111";"48,747778";"48°44'52.001N 7°8'10.000E";"57333";"Rue des Mésanges";"Devant la maison de Mr GRAFF FROEHLICHER à 200 m du pylône BYT";"57400";"HOMMARTING";"04/12/2002";"En extérieur";"FicheMesure840.pdf";"Oui";"0,46";"Rue / Route / Parking";"CSTB - Saint Martin d'Heres";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,42";"";"0,4";"";"";"";"";"";"";"";"";""
"841";"7,136944";"48,748333";"48°44'53.999N 7°8'12.998E";"57333";"Rue des Mésanges";"Devant la maison, sur le trottoir. Maison adjacente à la maison de Mr NISSE.";"57400";"HOMMARTING";"04/12/2002";"En extérieur";"FicheMesure841.pdf";"Oui";"0,34";"Rue / Route / Parking";"CSTB - Saint Martin d'Heres";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,22";"";"";"";"";"";"";"";"";"";"";""
"935";"7,873889";"48,783333";"48°46'59.999N 7°52'26.000E";"67345";"Route de Schirrhein";"A proximité du pied du pylône Bouygues Télécom.";"67240";"OBERHOFFEN SUR MODER";"28/10/2002";"En extérieur";"FicheMesure935.pdf";"Oui";"0,51";"Rue / Route / Parking";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,21";"";"";"";"";"";"";"";"";"";"";""
