"Numéro de mesure";"Longitude";"Latitude";"Position";"Insee";"Adresse";"Complément";"Code postal";"Commune";"Date de mesure";"Mesure réalisée";"Rapport";"Conformité de la mesure";"Niveau global";"Type d'environnement";"laboratoire";"DECT (Téléphone domestique)";"Radiodiffusion sonore (FM – RNT)";"Services HF";"PMR (Réseaux radio mobile professionnels)";"PMR - balises";"Radars - balises - FH";"Radar - BLR (Wimax)- FH";"TV";"Réseaux locaux radioélectriques ou Wifi";"TM 700 (Téléphonie Mobile en 700 MHz)_mesuré";"TM 700 (Téléphonie Mobile en 700 MHz)_extrapolé";"TM 800_mesuré";"TM 800_extrapolé";"TM 900_mesuré";"TM 900_extrapolé";"TM 1800_mesuré";"TM 1800_extrapolé";"TM 2100_mesuré";"TM 2100_extrapolé";"TM 2600_mesuré";"TM 2600_extrapolé";"TM 3600_mesuré";"TM 3600_extrapolé";"Cumul_CasB";"Cumul_CasB_TM";"Ratio_Ecart_CasA_CasB_%";"CV_services_CasB"
"156497";"3,016133";"50,642256";"50°38'32.122N 3°0'58.079E";"59350";"Avenue de Mont-à-Camp";"";"59160";"LILLE";"18/02/2020";"En intérieur";"R_SO8976_1_1PUB.pdf";"Oui";"1,75";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"0,07";"0,33";"";"0,65";"";"1,16";"";"0,41";"";"0,21";"";"0,25";"";"";"";"1,468537";"1,466867";"16,084";"0,768994"
"156499";"3,074262";"50,622289";"50°37'20.240N 3°4'27.343E";"59350";"Rue Jean Jaurès";"";"59000";"LILLE";"18/02/2020";"En intérieur";"R_SO8865_1_2PUB.pdf";"Oui";"1,06";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"";"1,13";"";"";"";"";"";"0,07";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1,132166";"";"-6,808";"0,883333"
"156501";"3,014567";"50,641786";"50°38'30.430N 3°0'52.441E";"59350";"Avenue de Mont-à-Camp";"";"59160";"LILLE";"18/02/2020";"En extérieur";"R_SO8976_1_2PUB.pdf";"Oui";"0,23";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"0,09";"";"0,07";"";"0,08";"";"0,06";"";"0,11";"";"";"";"0,18735";"0,18735";"18,544";"0,209813"
"156505";"3,017077";"50,64231";"50°38'32.316N 3°1'1.477E";"59350";"Avenue de Dunkerque";"";"59160";"LILLE";"18/02/2020";"En extérieur";"R_SO8976_1_5PUB.pdf";"Oui";"0,87";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"0,14";"";"0,43";"";"0,43";"";"0,35";"";"0,2";"";"0,21";"";"";"";"0,77201";"0,77201";"11,263";"0,392991"
"156506";"3,017957";"50,641637";"50°38'29.893N 3°1'4.645E";"59350";"Avenue de Dunkerque";"";"59160";"LILLE";"18/02/2020";"En extérieur";"R_SO8976_1_4PUB.pdf";"Oui";"1,36";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"0,35";"";"0,75";"";"0,54";"";"0,23";"";"0,4";"";"0,27";"";"";"";"1,123566";"1,123566";"17,385";"0,417174"
"156507";"2,309146";"49,86918";"49°52'9.048N 2°18'32.926E";"80021";"Rue de la Croix Rompue";"";"80090";"AMIENS";"13/02/2020";"En intérieur";"R_SO8891_1_1PUB.pdf";"Oui";"0,31";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"0,25";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,25";"";"19,355";"0"
"156511";"3,097093";"50,644508";"50°38'40.229N 3°5'49.535E";"59410";"Place du Vercors";"";"59370";"MONS EN BAROEUL";"14/02/2020";"En extérieur";"R_SO8896_1_3PUB.pdf";"Oui";"1,1";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"156517";"2,401178";"51,013356";"51°0'48.082N 2°24'4.241E";"59155";"32 Pont de Steendam";"";"59210";"COUDEKERQUE BRANCHE";"17/02/2020";"En extérieur";"R_SO8872_2_1PUB.pdf";"Oui";"0,35";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,16";"";"0,21";"";"0,08";"";"0,08";"";"";"";"0,287228";"0,287228";"17,935";"0,418085"
"156527";"3,499639";"50,376637";"50°22'35.893N 3°29'58.700E";"59014";"Rue de Roubaix";"";"59410";"ANZIN";"19/02/2020";"En intérieur";"R_SO8812_4_1PUB.pdf";"Oui";"0,36";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"156528";"1,898103";"49,747265";"49°44'50.154N 1°53'53.171E";"80436";"Rue de la Place";"";"80290";"HESCAMPS";"13/02/2020";"En intérieur";"R_SO8891_2_1PUB.pdf";"Oui";"0,76";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
