"Numéro de mesure";"Longitude";"Latitude";"Position";"Insee";"Adresse";"Complément";"Code postal";"Commune";"Date de mesure";"Mesure réalisée";"Rapport";"Conformité de la mesure";"Niveau global";"Type d'environnement";"laboratoire";"DECT (Téléphone domestique)";"Radiodiffusion sonore (FM – RNT)";"Services HF";"PMR (Réseaux radio mobile professionnels)";"PMR - balises";"Radars - balises - FH";"Radar - BLR (Wimax)- FH";"TV";"Réseaux locaux radioélectriques ou Wifi";"TM 700 (Téléphonie Mobile en 700 MHz)_mesuré";"TM 700 (Téléphonie Mobile en 700 MHz)_extrapolé";"TM 800_mesuré";"TM 800_extrapolé";"TM 900_mesuré";"TM 900_extrapolé";"TM 1800_mesuré";"TM 1800_extrapolé";"TM 2100_mesuré";"TM 2100_extrapolé";"TM 2600_mesuré";"TM 2600_extrapolé";"TM 3600_mesuré";"TM 3600_extrapolé";"Cumul_CasB";"Cumul_CasB_TM";"Ratio_Ecart_CasA_CasB_%"
"136023";"5,390854";"43,281665";"43°16'53.994N 5°23'27.074E";"13208";"Avenue Jules Cantini";"";"13008";"MARSEILLE 8E ARRONDISSEMENT";"22/05/2018";"En extérieur";"R_SO6203_1_1PUB.pdf";"Oui";"1,24";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"0,42";"";"0,49";"";"0,61";"";"0,24";"";"0,39";"";"";"";"0,999";"0,999";"19,423"
"136058";"7,12826";"43,736647";"43°44'11.929N 7°7'41.736E";"06157";"Avenue de Provence";"";"06140";"VENCE";"25/05/2018";"En intérieur";"R_SO6217_1_1PUB.pdf";"Oui";"0,31";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"136075";"7,332516";"43,69163";"43°41'29.868N 7°19'57.058E";"06121";"Avenue Denis Semeria";"";"06230";"SAINT JEAN CAP FERRAT";"25/05/2018";"En extérieur";"R_SO6282_1_2PUB.pdf";"Oui";"0,31";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"0,25";"";"";"";"";"";"0,06";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,257";"";"17,065"
"136081";"7,121801";"43,718008";"43°43'4.829N 7°7'18.484E";"06157";"Route de Saint-Paul";"";"06140";"VENCE";"24/05/2018";"En intérieur";"R_SO6201_1_1PUB.pdf";"Oui";"0,23";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"136085";"7,332215";"43,69028";"43°41'25.008N 7°19'55.974E";"06121";"Avenue des Fleurs";"";"06230";"SAINT JEAN CAP FERRAT";"25/05/2018";"En extérieur";"R_SO6282_1_1PUB.pdf";"Oui";"1,31";"Lieu d'habitation";"EXEM";"";"0,06";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,91";"";"0,7";"";"";"";"";"";"1,15";"1,148";"12,24"
"136094";"6,88571";"43,433348";"43°26'0.053N 6°53'8.556E";"83118";"Boulevard de l'Esterel";"";"83530";"SAINT RAPHAEL";"22/05/2018";"En extérieur";"R_SO6224_1_1PUB.pdf";"Oui";"2,66";"Rue / Route / Parking";"EXEM";"";"0,18";"0,07";"";"";"";"";"0,11";"";"";"";"1,02";"";"1,49";"";"";"";"0,99";"";"0,71";"";"";"";"2,19";"2,178";"17,686"
"136122";"5,101604";"43,340731";"43°20'26.632N 5°6'5.774E";"13104";"Avenue des trois Communes";"";"13960";"SAUSSET LES PINS";"01/06/2018";"En extérieur";"R_SO6219_1_1PUB.pdf";"Oui";"0,44";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"136128";"7,122209";"43,720203";"43°43'12.731N 7°7'19.952E";"06157";"Route de Cagnes";"";"06140";"VENCE";"24/05/2018";"En extérieur";"R_SO6205_1_1PUB.pdf";"Oui";"0,63";"Lieu d'habitation";"EXEM";"";"0,57";"";"";"";"";"";"0,08";"0,06";"";"";"0,11";"";"0,09";"";"0,09";"";"";"";"";"";"";"";"0,603";"0,168";"4,34"
"136135";"6,920636";"43,657898";"43°39'28.433N 6°55'14.290E";"06069";"Rue de l'Ancien Palais de Justice";"";"06130";"GRASSE";"24/05/2018";"En extérieur";"R_SO6200_1_2PUB.pdf";"Oui";"0,66";"Rue / Route / Parking";"EXEM";"";"0,06";"";"";"";"";"";"0,11";"";"";"";"0,15";"";"0,23";"";"0,26";"";"0,29";"";"0,3";"";"";"";"0,577";"0,563";"12,593"
"136167";"7,016015";"43,576816";"43°34'36.538N 7°0'57.654E";"06030";"Rue Victor Hugo";"";"06110";"CANNET";"23/05/2018";"En extérieur";"R_SO6248_1_2PUB.pdf";"Oui";"3,42";"Lieu d'habitation";"EXEM";"";"0,2";"";"";"";"";"";"0,13";"";"0,07";"";"1,72";"";"1,5";"";"1,24";"";"0,82";"";"1,35";"";"";"";"3,05";"3,041";"10,818"
"136170";"6,922953";"43,667057";"43°40'1.405N 6°55'22.631E";"06069";"Avenue Honoré Lions";"";"06130";"GRASSE";"24/05/2018";"En extérieur";"R_SO6200_1_1PUB.pdf";"Oui";"1,01";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"0,65";"";"";"";"";"";"0,11";"";"";"";"0,13";"";"0,33";"";"0,27";"";"0,18";"";"0,12";"";"";"";"0,825";"0,495";"18,348"
